expend,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
INV_RESC,MIO_EUR,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_RESC,MIO_EUR,CH	26 	0 	9 	0 	1 	0 	43 	0 	0 
INV_RESC,MIO_EUR,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_RESC,MIO_EUR,DE	6 	12 	19 	28 	23 	183 	47 	45 	8 
INV_RESC,MIO_EUR,DK	0 	0 	1 	0 	6 	16 	3 	2 	0 
INV_RESC,MIO_EUR,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_RESC,MIO_EUR,ES	45 	3 	0 	7 	11 	1 	5 	16 	2 
INV_RESC,MIO_EUR,EU15	171 	181 	308 	337 	476 	478 	630 	327 	455 
INV_RESC,MIO_EUR,FI	1 	30 	5 	3 	50 	24 	28 	19 	4 
INV_RESC,MIO_EUR,FR	3 	4 	93 	46 	73 	47 	57 	59 	66 
INV_RESC,MIO_EUR,HU	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_RESC,MIO_EUR,IE	0 	0 	0 	0 	2 	4 	0 	2 	1 
INV_RESC,MIO_EUR,IT	0 	0 	6 	40 	8 	35 	9 	96 	0 
INV_RESC,MIO_EUR,LU	0 	0 	5 	7 	0 	0 	0 	10 	0 
INV_RESC,MIO_EUR,NL	23 	18 	49 	33 	23 	34 	35 	13 	15 
INV_RESC,MIO_EUR,NO	0 	5 	1 	2 	1 	12 	15 	0 	0 
INV_RESC,MIO_EUR,PL	0 	0 	0 	3 	2 	5 	6 	0 	1 
INV_RESC,MIO_EUR,PT	0 	5 	0 	0 	78 	2 	61 	0 	0 
INV_RESC,MIO_EUR,RO	0 	1 	0 	0 	0 	0 	0 	1 	0 
INV_RESC,MIO_EUR,SE	0 	0 	1 	0 	0 	1 	33 	3 	3 
INV_RESC,MIO_EUR,UK	82 	110 	90 	142 	197 	109 	325 	53 	352 
INV_RESC,NR_COMP,AT	2 	0 	1 	1 	3 	4 	3 	1 	1 
INV_RESC,NR_COMP,BE	4 	1 	6 	5 	6 	7 	11 	4 	2 
INV_RESC,NR_COMP,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 
